# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	24086	25063	-							MPAO1_00115	978		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	25254	26171	+							MPAO1_00120	918		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	26229	27053	+							MPAO1_00125	825		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	27164	28150	+							MPAO1_00130	987		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	28131	29417	+							MPAO1_00135	1287		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	29414	30016	+							MPAO1_00140	603		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	30020	31573	-							MPAO1_00145	1554		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	31578	32501	-					choX		MPAO1_00150	924		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	32518	34029	-					betC		MPAO1_00155	1512		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	34142	35056	+							MPAO1_00160	915		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	35067	35444	+							MPAO1_00165	378		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	35423	35788	-							MPAO1_00170	366		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	35796	36419	-							MPAO1_00175	624		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	36605	37411	-							MPAO1_00180	807		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	37408	38616	-					trpB		MPAO1_00185	1209		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	38720	39607	+							MPAO1_00190	888		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	39708	39923	+							MPAO1_00195	216		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	40107	40334	+							MPAO1_00200	228		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	40631	42319	+							MPAO1_00205	1689		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	42432	53039	+							MPAO1_00210	10608		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	53042	53296	+							MPAO1_00215	255		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	53639	54340	+							MPAO1_00220	702		
gene	pseudogene	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	54357	54551	+							MPAO1_00225	195		pseudo
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	54607	54843	+							MPAO1_00230	237		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	55030	55275	+							MPAO1_00235	246		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	55272	55592	+							MPAO1_00240	321		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	55687	55965	+							MPAO1_00245	279		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	56064	56459	+							MPAO1_00250	396		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	56473	56733	-							MPAO1_00255	261		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	56730	58112	-							MPAO1_00260	1383		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	58304	59677	+							MPAO1_00265	1374		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	60174	60860	+							MPAO1_00270	687		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	60891	61244	+							MPAO1_00275	354		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	61241	61906	+							MPAO1_00280	666		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	61921	62304	-							MPAO1_00285	384		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	62586	64247	-							MPAO1_00290	1662		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	64857	64997	+							MPAO1_00295	141		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	65821	67653	+					asnB		MPAO1_00300	1833		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	67706	68134	-							MPAO1_00305	429		
gene	pseudogene	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	68574	69044	+							MPAO1_00310	471		pseudo
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	69061	69609	-							MPAO1_00315	549		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	69648	70154	-							MPAO1_00320	507		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	70220	71140	-							MPAO1_00325	921		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	71248	72135	+							MPAO1_00330	888		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	72198	72902	+							MPAO1_00335	705		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	72986	73441	+							MPAO1_00340	456		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	73552	73785	+							MPAO1_00345	234		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	73797	74234	-							MPAO1_00350	438		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	74291	74707	-							MPAO1_00355	417		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	74799	75926	+							MPAO1_00360	1128		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	75934	76917	-							MPAO1_00365	984		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	76950	77615	-							MPAO1_00370	666		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	77608	78150	-							MPAO1_00375	543		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	78228	80273	+							MPAO1_00380	2046		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	80270	80545	+							MPAO1_00385	276		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	80634	81692	+							MPAO1_00390	1059		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	81922	82836	-							MPAO1_00395	915		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	82898	84610	-							MPAO1_00400	1713		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	84603	85802	-							MPAO1_00405	1200		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	85802	86521	-							MPAO1_00410	720		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	86518	89616	-							MPAO1_00415	3099		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	89624	90352	-							MPAO1_00420	729		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	90362	91042	-					tagF		MPAO1_00425	681		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	91039	94569	-					tssM		MPAO1_00430	3531		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	94566	95915	-							MPAO1_00435	1350		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	95922	97256	-					tssK		MPAO1_00440	1335		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	97272	97736	-					tssJ		MPAO1_00445	465		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	97781	99274	-					tagH		MPAO1_00450	1494		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	99642	100676	+					tssA		MPAO1_00455	1035		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	100765	101283	+					tssB		MPAO1_00460	519		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	101296	102792	+					tssC		MPAO1_00465	1497		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	102868	103356	+					hcp		MPAO1_00470	489		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	103524	104369	+							MPAO1_00475	846		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	104371	104880	+					tssE		MPAO1_00480	510		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	104877	106736	+					tssF		MPAO1_00485	1860		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	106700	107746	+					tssG		MPAO1_00490	1047		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	107739	110447	+					tssH		MPAO1_00495	2709		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	110494	112425	+					tssI		MPAO1_00500	1932		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	112540	112824	-							MPAO1_00505	285		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	112821	114113	-							MPAO1_00510	1293		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	114129	114563	-							MPAO1_00515	435		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	114817	117042	+					vgrG		MPAO1_00520	2226		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	117070	117519	+							MPAO1_00525	450		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	117449	118648	+							MPAO1_00530	1200		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	118645	119682	+							MPAO1_00535	1038		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	119682	120842	+							MPAO1_00540	1161		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	120864	121784	+							MPAO1_00545	921		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	121766	123013	+							MPAO1_00550	1248		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	123389	124117	+							MPAO1_00555	729		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	124328	125899	+							MPAO1_00560	1572		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	125886	126524	-							MPAO1_00565	639		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	126746	126907	-							MPAO1_00570	162		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	126896	128020	+					coxB		MPAO1_00575	1125		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	128030	129622	+					ctaD		MPAO1_00580	1593		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	129633	130187	+							MPAO1_00585	555		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	130198	131085	+							MPAO1_00590	888		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	131101	131310	-							MPAO1_00595	210		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	131326	132120	+							MPAO1_00600	795		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	132095	132673	+							MPAO1_00605	579		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	132738	133811	+							MPAO1_00610	1074		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	133837	134751	+							MPAO1_00615	915		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	134777	135412	+							MPAO1_00620	636		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	135452	135904	-							MPAO1_00625	453		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	136036	136509	+							MPAO1_00630	474		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	136766	137494	+							MPAO1_00635	729		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	137519	138106	+							MPAO1_00640	588		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	138336	139685	+							MPAO1_00645	1350		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	139734	140420	+							MPAO1_00650	687		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	140521	141255	+							MPAO1_00655	735		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	141435	141845	+							MPAO1_00660	411		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	141877	142785	-							MPAO1_00665	909		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	143085	143366	-							MPAO1_00670	282		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	143363	143590	-							MPAO1_00675	228		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	143766	144386	-							MPAO1_00680	621		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	144487	144987	+							MPAO1_00685	501		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	145060	145401	+							MPAO1_00690	342		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	145483	146910	-					gabP		MPAO1_00695	1428		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	147079	148572	-					mmsA		MPAO1_00700	1494		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	148656	148943	-							MPAO1_00705	288		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	148943	150289	-							MPAO1_00710	1347		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	150424	151341	+							MPAO1_00715	918		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	151454	152824	-					guaD		MPAO1_00720	1371		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	153214	153354	+							MPAO1_00725	141		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	153935	155506	+							MPAO1_00730	1572		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	155506	156603	+							MPAO1_00735	1098		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	156626	157552	+							MPAO1_00740	927		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	157618	157737	-							MPAO1_00745	120		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	157717	158280	+					ahpC		MPAO1_00750	564		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	158425	159990	+					ahpF		MPAO1_00755	1566		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	160070	160966	-					ppk2		MPAO1_00760	897		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	161424	162773	+							MPAO1_00765	1350		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	162881	163933	+							MPAO1_00770	1053		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	163961	164587	-							MPAO1_00775	627		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	164737	165255	-							MPAO1_00780	519		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	165494	166591	+							MPAO1_00785	1098		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	166664	167626	+							MPAO1_00790	963		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	167731	168681	+							MPAO1_00795	951		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	168878	169423	+							MPAO1_00800	546		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	169420	170415	+							MPAO1_00805	996		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	170564	172951	+							MPAO1_00810	2388		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	173238	174155	+					pcaQ		MPAO1_00815	918		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	174290	175009	+					pcaH		MPAO1_00820	720		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	175020	175625	+					pcaG		MPAO1_00825	606		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	175622	175852	-							MPAO1_00830	231		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	175832	176671	+							MPAO1_00835	840		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	176824	177975	+							MPAO1_00840	1152		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	177972	179042	+							MPAO1_00845	1071		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	179039	182086	+							MPAO1_00850	3048		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	182285	183223	+							MPAO1_00855	939		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	183339	183524	+							MPAO1_00860	186		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	183741	183956	+							MPAO1_00865	216		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	184111	185445	+							MPAO1_00870	1335		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	185474	186271	-							MPAO1_00875	798		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	186349	187965	+							MPAO1_00880	1617		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	188637	189473	+							MPAO1_00885	837		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	189715	191121	+							MPAO1_00890	1407		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	191214	191879	+							MPAO1_00895	666		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	191885	192475	+							MPAO1_00900	591		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	192482	193189	-							MPAO1_00905	708		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	193316	193696	-							MPAO1_00910	381		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	193723	194265	-							MPAO1_00915	543		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	194274	196265	-							MPAO1_00920	1992		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	196528	197577	-							MPAO1_00925	1050		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	197597	198199	-					cheD		MPAO1_00930	603		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	198205	199047	-							MPAO1_00935	843		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	199117	201156	-							MPAO1_00940	2040		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	201192	201677	-							MPAO1_00945	486		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	201664	203583	-							MPAO1_00950	1920		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	203611	203976	-							MPAO1_00955	366		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	204174	205346	-							MPAO1_00960	1173		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	205539	206471	-							MPAO1_00965	933		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	206588	207340	+							MPAO1_00970	753		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	207440	209050	-							MPAO1_00975	1611		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	209138	209977	-							MPAO1_00980	840		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	209974	211590	-							MPAO1_00985	1617		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	211857	212918	+							MPAO1_00990	1062		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	213336	214151	+							MPAO1_00995	816		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	214148	215029	+							MPAO1_01000	882		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	215067	216425	-							MPAO1_01005	1359		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	216673	217398	+							MPAO1_01010	726		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	217422	218339	-							MPAO1_01015	918		
gene	pseudogene	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	218438	218700	-							MPAO1_01020	263		pseudo
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	218689	221061	+							MPAO1_01025	2373		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	221102	222004	+							MPAO1_01030	903		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	222072	222971	+							MPAO1_01035	900		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	223618	224736	+							MPAO1_01040	1119		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	224812	225120	+							MPAO1_01045	309		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	225120	226556	+							MPAO1_01050	1437		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	226899	227711	+							MPAO1_01055	813		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	227740	228459	+							MPAO1_01060	720		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	228461	228862	+							MPAO1_01065	402		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	229043	229255	-							MPAO1_01070	213		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	229471	230052	+							MPAO1_01075	582		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	230060	231517	-							MPAO1_01080	1458		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	231583	232617	-							MPAO1_01085	1035		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	232640	233449	-							MPAO1_01090	810		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	233446	234366	-							MPAO1_01095	921		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	234392	235504	-							MPAO1_01100	1113		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	235735	236628	+							MPAO1_01105	894		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	236749	238413	+					mdcA		MPAO1_01110	1665		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	238413	239294	+							MPAO1_01115	882		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	239296	239595	+							MPAO1_01120	300		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	239588	240451	+							MPAO1_01125	864		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	240448	241254	+					mdcE		MPAO1_01130	807		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	241270	241962	+							MPAO1_01135	693		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	241959	242891	+					mdcH		MPAO1_01140	933		
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	242948	243352	+					madL		MPAO1_01145	405		
